X,Y,XY,X^2,Y^2,Y Pred,(Y-Y PRED)^2,(y-yrata)^2
9,0.1111111,0.9999999,81,0.012345677,2.467018834,5.550301253,4.288099951
13,3.2307692,41.9999996,169,10.43786962,1.81078191,2.016363903,1.100160392
2.5,1.3999996,3.499999,6.25,1.95999888,3.533403836,4.551413635,0.611343044
16.5,0.7272727,11.99999955,272.25,0.52892558,1.236574601,0.259388427,2.115893716
9,4.666666,41.999994,81,21.77777156,2.467018834,4.838447653,6.17414213
9,4.666666,41.999994,81,21.77777156,2.467018834,4.838447653,6.17414213
23,0.8521735,19.5999905,529,0.726199674,0.1701896,0.465102041,1.768129723
23,1.826086,41.999978,529,3.334590079,0.1701896,2.741992889,0.126592139
2.5,4.7999992,11.999998,6.25,23.03999232,3.533403836,1.604263815,6.854527772
6,1.333333,7.999998,36,1.777776889,2.959196528,2.64343221,0.720038614
6,3.2666645,19.599987,36,10.67109696,2.959196528,0.094536554,1.17674897
6,2.041666,12.249996,36,4.168400056,2.959196528,0.841862269,0.019661057
16.5,0.4848484,7.9999986,272.25,0.235077971,1.236574601,0.565092282,2.879929457
6,2,12,36,4,2.959196528,0.920057979,0.03308175
6,3.2666645,19.599987,36,10.67109696,2.959196528,0.094536554,1.17674897
9,1.3611107,12.2499963,81,1.852622338,2.467018834,1.223032802,0.673668631
6,2,12,36,4,2.959196528,0.920057979,0.03308175
23,1.826086,41.999978,529,3.334590079,0.1701896,2.741992889,0.126592139
23,1.826086,41.999978,529,3.334590079,0.1701896,2.741992889,0.126592139
6,2.041666,12.249996,36,4.168400056,2.959196528,0.841862269,0.019661057
2.5,7.8399963,19.59999075,6.25,61.46554198,3.533403836,18.54673865,32.01423604
16.5,2.545454,41.999991,272.25,6.479336066,1.236574601,1.71316528,0.132183224
23,0.5326087,12.2500001,529,0.283672027,0.1701896,0.131347604,2.720108655
9,0.6222222,5.5999998,81,0.387160466,2.467018834,3.403274622,2.43254459
6,0.5833333,3.4999998,36,0.340277739,2.959196528,5.644726076,2.555363991
