X,Y,XY,X^2,Y^2,Y Pred,(Y-Y PRED)^2,(y-yrata)^2
3,0.1111111,0.3333333,9,0.012345677,1.795839913,2.838311175,4.288099951
1,3.2307692,3.2307692,1,10.43786962,2.732839859,0.247933629,1.100160392
1,1.3999996,1.3999996,1,1.95999888,2.732839859,1.776463155,0.611343044
3,0.7272727,2.1818181,9,0.52892558,1.795839913,1.14183589,2.115893716
1,4.666666,4.666666,1,21.77777156,2.732839859,3.739683545,6.17414213
2,4.666666,9.333332,4,21.77777156,2.264339886,5.771170758,6.17414213
2,0.8521735,1.704347,4,0.726199674,2.264339886,1.994213902,1.768129723
2,1.826086,3.652172,4,3.334590079,2.264339886,0.192066469,0.126592139
2,4.7999992,9.5999984,4,23.03999232,2.264339886,6.429568157,6.854527772
1,1.333333,1.333333,1,1.777776889,2.732839859,1.958619447,0.720038614
1,3.2666645,3.2666645,1,10.67109696,2.732839859,0.284968748,1.17674897
3,2.041666,6.124998,9,4.168400056,1.795839913,0.060430465,0.019661057
1,0.4848484,0.4848484,1,0.235077971,2.732839859,5.053465598,2.879929457
2,2,4,4,4,2.264339886,0.069875575,0.03308175
1,3.2666645,3.2666645,1,10.67109696,2.732839859,0.284968748,1.17674897
2,1.3611107,2.7222214,4,1.852622338,2.264339886,0.815822962,0.673668631
1,2,2,1,4,2.732839859,0.537054258,0.03308175
4,1.826086,7.304344,16,3.334590079,1.327339941,0.248747632,0.126592139
2,1.826086,3.652172,4,3.334590079,2.264339886,0.192066469,0.126592139
2,2.041666,4.083332,4,4.168400056,2.264339886,0.049583659,0.019661057
2,7.8399963,15.6799926,4,61.46554198,2.264339886,31.08794445,32.01423604
2,2.545454,5.090908,4,6.479336066,2.264339886,0.079025145,0.132183224
3,0.5326087,1.5978261,9,0.283672027,1.795839913,1.595753098,2.720108655
4,0.6222222,2.4888888,16,0.387160466,1.327339941,0.497191028,2.43254459
2,0.5833333,1.1666666,4,0.340277739,2.264339886,2.825783142,2.555363991
3,4.7999992,14.3999976,9,23.03999232,1.795839913,9.024973019,6.854527772
2,0.1666666,0.3333332,4,0.027777756,2.264339886,4.400233215,4.061100729
3,0.6153846,1.8461538,9,0.378698206,1.795839913,1.393474747,2.453920028
2,1.1878777,2.3757554,4,1.41105343,2.264339886,1.158770838,0.988048307
1,11.1999989,11.1999989,1,125.4399754,2.732839859,71.69278223,81.32639832
3,1.1878777,3.5636331,9,1.41105343,1.795839913,0.369618053,0.988048307
1,2.1777763,2.1777763,1,4.742709613,2.732839859,0.308095554,1.68723E-05
3,0.4848484,1.4545452,9,0.235077971,1.795839913,1.718698748,2.879929457
4,0.7272727,2.9090908,16,0.52892558,1.327339941,0.360080693,2.115893716
3,0.7272727,2.1818181,9,0.52892558,1.795839913,1.14183589,2.115893716
2,1.333333,2.666666,4,1.777776889,2.264339886,0.866773822,0.720038614
1,7,7,1,49,2.732839859,18.20865567,23.21424284
2,0.5217391,1.0434782,4,0.272211688,2.264339886,3.036657499,2.756080726
3,0.2121212,0.6363636,9,0.044995403,1.795839913,2.508164963,3.879965058
2,0.4,0.8,4,0.16,2.264339886,3.47576321,3.1751102
2,1.3999996,2.7999992,4,1.95999888,2.264339886,0.74708413,0.611343044
2,3.1999998,6.3999996,4,10.23999872,2.264339886,0.875459475,1.036560005
2,1.5076914,3.0153828,4,2.273133358,2.264339886,0.572516931,0.454535515
2,7.8399963,15.6799926,4,61.46554198,2.264339886,31.08794445,32.01423604
1,7.8399963,7.8399963,1,61.46554198,2.732839859,26.08304692,32.01423604
3,0.4,1.2,9,0.16,1.795839913,1.948369064,3.1751102
3,4.8999996,14.6999988,9,24.00999608,1.795839913,9.63580736,7.388153009
3,0.0434783,0.1304349,9,0.001890363,1.795839913,3.070771224,4.572778471
3,0.0769231,0.2307693,9,0.005917163,1.795839913,2.954675011,4.430859931
2,0.5833333,1.1666666,4,0.340277739,2.264339886,2.825783142,2.555363991
4,4.7999992,19.1999968,16,23.03999232,1.327339941,12.05936233,6.854527772
3,0.8521735,2.5565205,9,0.726199674,1.795839913,0.8905063,1.768129723
