X,Y,XY,X^2,Y^2,Y Pred,(Y-Y PRED)^2,(y-yrata)^2
2,0.1111111,0.2222222,4,0.012345677,2.345163302,4.990989242,4.288099951
3,3.2307692,9.6923076,9,10.43786962,2.234540395,0.992471832,1.100160392
3,1.3999996,4.1999988,9,1.95999888,2.234540395,0.696458338,0.611343044
5,0.7272727,3.6363635,25,0.52892558,2.01329458,1.653852276,2.115893716
3,4.666666,13.999998,9,21.77777156,2.234540395,5.91523496,6.17414213
3,4.666666,13.999998,9,21.77777156,2.234540395,5.91523496,6.17414213
5,0.8521735,4.2608675,25,0.726199674,2.01329458,1.348202162,1.768129723
2,1.826086,3.652172,4,3.334590079,2.345163302,0.269441246,0.126592139
3,4.7999992,14.3999976,9,23.03999232,2.234540395,6.581578882,6.854527772
3,1.333333,3.999999,9,1.777776889,2.234540395,0.812174768,0.720038614
3,3.2666645,9.7999935,9,10.67109696,2.234540395,1.065280169,1.17674897
3,2.041666,6.124998,9,4.168400056,2.234540395,0.037200532,0.019661057
2,0.4848484,0.9696968,4,0.235077971,2.345163302,3.460771535,2.879929457
3,2,6,9,4,2.234540395,0.055009197,0.03308175
4,3.2666645,13.066658,16,10.67109696,2.123917487,1.305870735,1.17674897
3,1.3611107,4.0833321,9,1.852622338,2.234540395,0.762879432,0.673668631
3,2,6,9,4,2.234540395,0.055009197,0.03308175
5,1.826086,9.13043,25,3.334590079,2.01329458,0.035047052,0.126592139
4,1.826086,7.304344,16,3.334590079,2.123917487,0.088703595,0.126592139
5,2.041666,10.20833,25,4.168400056,2.01329458,0.000804937,0.019661057
3,7.8399963,23.5199889,9,61.46554198,2.234540395,31.42113591,32.01423604
3,2.545454,7.636362,9,6.479336066,2.234540395,0.09666727,0.132183224
5,0.5326087,2.6630435,25,0.283672027,2.01329458,2.192430675,2.720108655
3,0.6222222,1.8666666,9,0.387160466,2.234540395,2.599569961,2.43254459
5,0.5833333,2.9166665,25,0.340277739,2.01329458,2.044789262,2.555363991
4,4.7999992,19.1999968,16,23.03999232,2.123917487,7.161413333,6.854527772
2,0.1666666,0.3333332,4,0.027777756,2.345163302,4.745847881,4.061100729
3,0.6153846,1.8461538,9,0.378698206,2.234540395,2.621665488,2.453920028
4,1.1878777,4.7515108,16,1.41105343,2.123917487,0.876170483,0.988048307
3,11.1999989,33.5999967,9,125.4399754,2.234540395,80.37944621,81.32639832
5,1.1878777,5.9393885,25,1.41105343,2.01329458,0.681313026,0.988048307
3,2.1777763,6.5333289,9,4.742709613,2.234540395,0.003222162,1.68723E-05
3,0.4848484,1.4545452,9,0.235077971,2.234540395,3.061422076,2.879929457
2,0.7272727,1.4545454,4,0.52892558,2.345163302,2.61757,2.115893716
4,0.7272727,2.9090908,16,0.52892558,2.123917487,1.950616662,2.115893716
5,1.333333,6.666665,25,1.777776889,2.01329458,0.46234775,0.720038614
3,7,21,9,49,2.234540395,22.70960525,23.21424284
3,0.5217391,1.5652173,9,0.272211688,2.234540395,2.933688275,2.756080726
3,0.2121212,0.6363636,9,0.044995403,2.234540395,4.090179399,3.879965058
3,0.4,1.2,9,0.16,2.234540395,3.36553846,3.1751102
4,1.3999996,5.5999984,16,1.95999888,2.123917487,0.524057108,0.611343044
3,3.1999998,9.5999994,9,10.23999872,2.234540395,0.932111863,1.036560005
4,1.5076914,6.0307656,16,2.273133358,2.123917487,0.379734591,0.454535515
3,7.8399963,23.5199889,9,61.46554198,2.234540395,31.42113591,32.01423604
1,7.8399963,7.8399963,1,61.46554198,2.455786209,28.9897183,32.01423604
3,0.4,1.2,9,0.16,2.234540395,3.36553846,3.1751102
4,4.8999996,19.5999984,16,24.00999608,2.123917487,7.706631896,7.388153009
5,0.0434783,0.2173915,25,0.001890363,2.01329458,3.880176177,4.572778471
4,0.0769231,0.3076924,16,0.005917163,2.123917487,4.190186022,4.430859931
3,0.5833333,1.7499999,9,0.340277739,2.234540395,2.72648487,2.555363991
4,4.7999992,19.1999968,16,23.03999232,2.123917487,7.161413333,6.854527772
3,0.8521735,2.5565205,9,0.726199674,2.234540395,1.910938232,1.768129723
6,4.7999992,28.7999952,36,23.03999232,1.902671673,8.394506801,6.854527772
3,2.9217386,8.7652158,9,8.536556447,2.234540395,0.472241373,0.547384991
4,0.5217391,2.0869564,16,0.272211688,2.123917487,2.566975585,2.756080726
5,0.5326087,2.6630435,25,0.283672027,2.01329458,2.192430675,2.720108655
3,0.4848484,1.4545452,9,0.235077971,2.234540395,3.061422076,2.879929457
4,7.8399963,31.3599852,16,61.46554198,2.123917487,32.67355699,32.01423604
2,1.333333,2.666666,4,1.777776889,2.345163302,1.02380056,0.720038614
3,1.5076914,4.5230742,9,2.273133358,2.234540395,0.528309461,0.454535515
3,1.333333,3.999999,9,1.777776889,2.234540395,0.812174768,0.720038614
2,1.1878777,2.3757554,4,1.41105343,2.345163302,1.339309965,0.988048307
3,1.5076914,4.5230742,9,2.273133358,2.234540395,0.528309461,0.454535515
5,1.333333,6.666665,25,1.777776889,2.01329458,0.46234775,0.720038614
2,7,14,4,49,2.345163302,21.66750468,23.21424284
4,0.7272727,2.9090908,16,0.52892558,2.123917487,1.950616662,2.115893716
3,1.5076914,4.5230742,9,2.273133358,2.234540395,0.528309461,0.454535515
3,2.041666,6.124998,9,4.168400056,2.234540395,0.037200532,0.019661057
2,26.8799896,53.7599792,4,722.5338409,2.345163302,601.9577015,609.9964256
5,0.5326087,2.6630435,25,0.283672027,2.01329458,2.192430675,2.720108655
5,2,10,25,4,2.01329458,0.000176746,0.03308175
3,0.2121212,0.6363636,9,0.044995403,2.234540395,4.090179399,3.879965058
3,1.333333,3.999999,9,1.777776889,2.234540395,0.812174768,0.720038614
5,2.545454,12.72727,25,6.479336066,2.01329458,0.283193648,0.132183224
3,0.1666666,0.4999998,9,0.027777756,2.234540395,4.276102031,4.061100729
4,0.4848484,1.9393936,16,0.235077971,2.123917487,2.686547473,2.879929457
5,1.333333,6.666665,25,1.777776889,2.01329458,0.46234775,0.720038614
5,0.4,2,25,0.16,2.01329458,2.602719402,3.1751102
5,0.4848484,2.424242,25,0.235077971,2.01329458,2.336147725,2.879929457
2,0.1666666,0.3333332,4,0.027777756,2.345163302,4.745847881,4.061100729
4,1.5076914,6.0307656,16,2.273133358,2.123917487,0.379734591,0.454535515
3,0.0606061,0.1818183,9,0.003673099,2.234540395,4.725990318,4.499819466
3,2.041666,6.124998,9,4.168400056,2.234540395,0.037200532,0.019661057
4,0.4,1.6,16,0.16,2.123917487,2.971891503,3.1751102
3,0.8888888,2.6666664,9,0.790123299,2.234540395,1.810778214,1.671836305
3,4.7999992,14.3999976,9,23.03999232,2.234540395,6.581578882,6.854527772
3,4.7999992,14.3999976,9,23.03999232,2.234540395,6.581578882,6.854527772
4,1.333333,5.333332,16,1.777776889,2.123917487,0.625023832,0.720038614
2,0.1521739,0.3043478,4,0.023156896,2.345163302,4.809202518,4.119722647
3,1.1878777,3.5636331,9,1.41105343,2.234540395,1.095502797,0.988048307
2,0.9423077,1.8846154,4,0.887943801,2.345163302,1.96800384,1.536549133
4,1.5076914,6.0307656,16,2.273133358,2.123917487,0.379734591,0.454535515
3,0.4,1.2,9,0.16,2.234540395,3.36553846,3.1751102
4,0.1111111,0.4444444,16,0.012345677,2.123917487,4.051389553,4.288099951
3,0.9423077,2.8269231,9,0.887943801,2.234540395,1.669865337,1.536549133
3,0.3888888,1.1666664,9,0.151234499,2.234540395,3.406429809,3.214831396
5,4.8999996,24.499998,25,24.00999608,2.01329458,8.333065873,7.388153009
5,0.5326087,2.6630435,25,0.283672027,2.01329458,2.192430675,2.720108655
3,2.041666,6.124998,9,4.168400056,2.234540395,0.037200532,0.019661057
5,4.8999996,24.499998,25,24.00999608,2.01329458,8.333065873,7.388153009
5,5.1692305,25.8461525,25,26.72094396,2.01329458,9.959931531,8.924239763
3,1.696969,5.090907,9,2.879703787,2.234540395,0.288983004,0.235142451
3,1.3999996,4.1999988,9,1.95999888,2.234540395,0.696458338,0.611343044
5,0.0769231,0.3846155,25,0.005917163,2.01329458,3.749534508,4.430859931
5,2.1777763,10.8888815,25,4.742709613,2.01329458,0.027054236,1.68723E-05
3,1.3999996,4.1999988,9,1.95999888,2.234540395,0.696458338,0.611343044
5,7.8399963,39.1999815,25,61.46554198,2.01329458,33.95045293,32.01423604
4,0.5833333,2.3333332,16,0.340277739,2.123917487,2.373399638,2.555363991
3,2.7151508,8.1454524,9,7.372043867,2.234540395,0.230986362,0.284373596
3,0.9423077,2.8269231,9,0.887943801,2.234540395,1.669865337,1.536549133
3,7,21,9,49,2.234540395,22.70960525,23.21424284
4,3.2666645,13.066658,16,10.67109696,2.123917487,1.305870735,1.17674897
3,4.666666,13.999998,9,21.77777156,2.234540395,5.91523496,6.17414213
3,2.1777763,6.5333289,9,4.742709613,2.234540395,0.003222162,1.68723E-05
2,0.4848484,0.9696968,4,0.235077971,2.345163302,3.460771535,2.879929457
3,1.3999996,4.1999988,9,1.95999888,2.234540395,0.696458338,0.611343044
4,3.1999998,12.7999992,16,10.23999872,2.123917487,1.157953144,1.036560005
2,11.1999998,22.3999996,4,125.4399955,2.345163302,78.4081294,81.32641455
6,1.5076914,9.0461484,36,2.273133358,1.902671673,0.156009416,0.454535515
3,1.333333,3.999999,9,1.777776889,2.234540395,0.812174768,0.720038614
6,1.3999996,8.3999976,36,1.95999888,1.902671673,0.252679213,0.611343044
2,0.3888888,0.7777776,4,0.151234499,2.345163302,3.827009928,3.214831396
5,2,10,25,4,2.01329458,0.000176746,0.03308175
3,4.8999996,14.6999988,9,24.00999608,2.234540395,7.104672775,7.388153009
4,1.3611107,5.4444428,16,1.852622338,2.123917487,0.581874195,0.673668631
3,2.041666,6.124998,9,4.168400056,2.234540395,0.037200532,0.019661057
2,1.3999996,2.7999992,4,1.95999888,2.345163302,0.893334424,0.611343044
2,0.2121212,0.4242424,4,0.044995403,2.345163302,4.549868609,3.879965058
4,3.2666645,13.066658,16,10.67109696,2.123917487,1.305870735,1.17674897
4,7.4666672,29.8666688,16,55.75111908,2.123917487,28.54497449,27.92893463
4,0.5833333,2.3333332,16,0.340277739,2.123917487,2.373399638,2.555363991
4,0.5217391,2.0869564,16,0.272211688,2.123917487,2.566975585,2.756080726
4,0.1111111,0.4444444,16,0.012345677,2.123917487,4.051389553,4.288099951
4,0.5217391,2.0869564,16,0.272211688,2.123917487,2.566975585,2.756080726
5,2,10,25,4,2.01329458,0.000176746,0.03308175
4,0.1521739,0.6086956,16,0.023156896,2.123917487,3.887772774,4.119722647
4,4.666666,18.666664,16,21.77777156,2.123917487,6.465569999,6.17414213
