X,Y,XY,X^2,Y^2,Y Pred,(Y-Y PRED)^2,(y-yrata)^2
5,0.1111111,0.5555555,25,0.012345677,2.063741906,3.812767063,4.288099951
4,3.2307692,12.9230768,16,10.43786962,2.16235792,1.141502663,1.100160392
5,1.3999996,6.999998,25,1.95999888,2.063741906,0.440553848,0.611343044
5,0.7272727,3.6363635,25,0.52892558,2.063741906,1.786149938,2.115893716
4,4.666666,18.666664,16,21.77777156,2.16235792,6.27155896,6.17414213
4,4.666666,18.666664,16,21.77777156,2.16235792,6.27155896,6.17414213
4,0.8521735,3.408694,16,0.726199674,2.16235792,1.716583214,1.768129723
3,1.826086,5.478258,9,3.334590079,2.260973934,0.189127515,0.126592139
3,4.7999992,14.3999976,9,23.03999232,2.260973934,6.4466493,6.854527772
5,1.333333,6.666665,25,1.777776889,2.063741906,0.533497169,0.720038614
5,3.2666645,16.3333225,25,10.67109696,2.063741906,1.447022768,1.17674897
5,2.041666,10.20833,25,4.168400056,2.063741906,0.000487346,0.019661057
3,0.4848484,1.4545452,9,0.235077971,2.260973934,3.154621914,2.879929457
2,2,4,4,4,2.359589949,0.129304931,0.03308175
4,3.2666645,13.066658,16,10.67109696,2.16235792,1.219493023,1.17674897
6,1.3611107,8.1666642,36,1.852622338,1.965125891,0.364834351,0.673668631
5,2,10,25,4,2.063741906,0.004063031,0.03308175
2,1.826086,3.652172,4,3.334590079,2.359589949,0.284626463,0.126592139
4,1.826086,7.304344,16,3.334590079,2.16235792,0.113078804,0.126592139
4,2.041666,8.166664,16,4.168400056,2.16235792,0.01456654,0.019661057
4,7.8399963,31.3599852,16,61.46554198,2.16235792,32.23557757,32.01423604
2,2.545454,5.090908,4,6.479336066,2.359589949,0.034545446,0.132183224
4,0.5326087,2.1304348,16,0.283672027,2.16235792,2.65608252,2.720108655
4,0.6222222,2.4888888,16,0.387160466,2.16235792,2.372018036,2.43254459
4,0.5833333,2.3333332,16,0.340277739,2.16235792,2.49331875,2.555363991
1,4.7999992,4.7999992,1,23.03999232,2.458205963,5.483995565,6.854527772
5,0.1666666,0.833333,25,0.027777756,2.063741906,3.598894715,4.061100729
4,0.6153846,2.4615384,16,0.378698206,2.16235792,2.393126453,2.453920028
2,1.1878777,2.3757554,4,1.41105343,2.359589949,1.372909594,0.988048307
6,11.1999989,67.1999934,36,125.4399754,1.965125891,85.28287949,81.32639832
5,1.1878777,5.9393885,25,1.41105343,2.063741906,0.767138107,0.988048307
4,2.1777763,8.7111052,16,4.742709613,2.16235792,0.000237726,1.68723E-05
2,0.4848484,0.9696968,4,0.235077971,2.359589949,3.514655874,2.879929457
4,0.7272727,2.9090908,16,0.52892558,2.16235792,2.059469589,2.115893716
6,0.7272727,4.3636362,36,0.52892558,1.965125891,1.532280523,2.115893716
2,1.333333,2.666666,4,1.777776889,2.359589949,1.053203325,0.720038614
2,7,14,4,49,2.359589949,21.53340544,23.21424284
2,0.5217391,1.0434782,4,0.272211688,2.359589949,3.377695742,2.756080726
5,0.2121212,1.060606,25,0.044995403,2.063741906,3.428499237,3.879965058
5,0.4,2,25,0.16,2.063741906,2.768037129,3.1751102
1,1.3999996,1.3999996,1,1.95999888,2.458205963,1.119800707,0.611343044
6,3.1999998,19.1999988,36,10.23999872,1.965125891,1.52491357,1.036560005
5,1.5076914,7.538457,25,2.273133358,2.063741906,0.309192165,0.454535515
4,7.8399963,31.3599852,16,61.46554198,2.16235792,32.23557757,32.01423604
2,7.8399963,15.6799926,4,61.46554198,2.359589949,30.03485378,32.01423604
2,0.4,0.8,4,0.16,2.359589949,3.839992767,3.1751102
5,4.8999996,24.499998,25,24.00999608,2.063741906,8.044357709,7.388153009
5,0.0434783,0.2173915,25,0.001890363,2.063741906,4.081465036,4.572778471
4,0.0769231,0.3076924,16,0.005917163,2.16235792,4.349038388,4.430859931
4,0.5833333,2.3333332,16,0.340277739,2.16235792,2.49331875,2.555363991
6,4.7999992,28.7999952,36,23.03999232,1.965125891,8.036506677,6.854527772
5,0.8521735,4.2608675,25,0.726199674,2.063741906,1.467898001,1.768129723
6,4.7999992,28.7999952,36,23.03999232,1.965125891,8.036506677,6.854527772
5,2.9217386,14.608693,25,8.536556447,2.063741906,0.736158328,0.547384991
4,0.5217391,2.0869564,16,0.272211688,2.16235792,2.691630112,2.756080726
4,0.5326087,2.1304348,16,0.283672027,2.16235792,2.65608252,2.720108655
4,0.4848484,1.9393936,16,0.235077971,2.16235792,2.81403819,2.879929457
5,7.8399963,39.1999815,25,61.46554198,2.063741906,33.36511483,32.01423604
2,1.333333,2.666666,4,1.777776889,2.359589949,1.053203325,0.720038614
4,1.5076914,6.0307656,16,2.273133358,2.16235792,0.428588252,0.454535515
4,1.333333,5.333332,16,1.777776889,2.16235792,0.687282318,0.720038614
4,1.1878777,4.7515108,16,1.41105343,2.16235792,0.949611699,0.988048307
2,1.5076914,3.0153828,4,2.273133358,2.359589949,0.725731137,0.454535515
5,1.333333,6.666665,25,1.777776889,2.063741906,0.533497169,0.720038614
5,7,35,25,49,2.063741906,24.36664397,23.21424284
5,0.7272727,3.6363635,25,0.52892558,2.063741906,1.786149938,2.115893716
4,1.5076914,6.0307656,16,2.273133358,2.16235792,0.428588252,0.454535515
4,2.041666,8.166664,16,4.168400056,2.16235792,0.01456654,0.019661057
3,26.8799896,80.6399688,9,722.5338409,2.260973934,606.0959323,609.9964256
4,0.5326087,2.1304348,16,0.283672027,2.16235792,2.65608252,2.720108655
2,2,4,4,4,2.359589949,0.129304931,0.03308175
5,0.2121212,1.060606,25,0.044995403,2.063741906,3.428499237,3.879965058
5,1.333333,6.666665,25,1.777776889,2.063741906,0.533497169,0.720038614
5,2.545454,12.72727,25,6.479336066,2.063741906,0.232046542,0.132183224
4,0.1666666,0.6666664,16,0.027777756,2.16235792,3.982783845,4.061100729
4,0.4848484,1.9393936,16,0.235077971,2.16235792,2.81403819,2.879929457
1,1.333333,1.333333,1,1.777776889,2.458205963,1.265339183,0.720038614
5,0.4,2,25,0.16,2.063741906,2.768037129,3.1751102
2,0.4848484,0.9696968,4,0.235077971,2.359589949,3.514655874,2.879929457
5,0.1666666,0.833333,25,0.027777756,2.063741906,3.598894715,4.061100729
5,1.5076914,7.538457,25,2.273133358,2.063741906,0.309192165,0.454535515
4,0.0606061,0.2424244,16,0.003673099,2.16235792,4.417360713,4.499819466
6,2.041666,12.249996,36,4.168400056,1.965125891,0.005858388,0.019661057
4,0.4,1.6,16,0.16,2.16235792,3.105905438,3.1751102
5,0.8888888,4.444444,25,0.790123299,2.063741906,1.38027982,1.671836305
2,4.7999992,9.5999984,4,23.03999232,2.359589949,5.955597314,6.854527772
4,4.7999992,19.1999968,16,23.03999232,2.16235792,6.957151522,6.854527772
6,1.333333,7.999998,36,1.777776889,1.965125891,0.399162257,0.720038614
2,0.1521739,0.3043478,4,0.023156896,2.359589949,4.872685612,4.119722647
2,1.1878777,2.3757554,4,1.41105343,2.359589949,1.372909594,0.988048307
6,0.9423077,5.6538462,36,0.887943801,1.965125891,1.046157052,1.536549133
4,1.5076914,6.0307656,16,2.273133358,2.16235792,0.428588252,0.454535515
2,0.4,0.8,4,0.16,2.359589949,3.839992767,3.1751102
4,0.1111111,0.4444444,16,0.012345677,2.16235792,4.207613516,4.288099951
3,0.9423077,2.8269231,9,0.887943801,2.260973934,1.738880637,1.536549133
5,0.3888888,1.944444,25,0.151234499,2.063741906,2.805132925,3.214831396
4,4.8999996,19.5999984,16,24.00999608,2.16235792,7.494681968,7.388153009
5,0.5326087,2.6630435,25,0.283672027,2.063741906,2.344368893,2.720108655
5,2.041666,10.20833,25,4.168400056,2.063741906,0.000487346,0.019661057
